KELAS,TWEET
HS,Dahlan Iskan: Saya Akui Saya Payah: Direktur Utama PLN Dahlan Iskan merasa payah dalam mengelola kelistrik... tinyurl.com/4yw5qx7
HS,?@Metro_TV: Hatta Rajasa Ingin Jadi RI-1. metrotvnews.com/read/news/2011??mulai serakah nihhh...
HS,Ternyata pak MAHFUD MD merasa tidak layak menjadi calon presiden 2014. Hanya ingin menjadi penegak hukum #Politic
HS,hatta rajasa dan surya paloh tidak cocok jadi presiden..
HS,"Setuju  SANGAT TIDAK LAYAK. Tapi Surya Paloh juga tdk layak RT @Metro_TV Pengamat: Ical Tidak Layak Jadi Presiden bit.ly/IAeyQk"""
HS,"Salah satu kelemahan Surya Paloh dia kecanduan pidato."""
HS,"3 Jusuf Kalla Wiranto Megawati Surya Paloh itu masa lalu yang mungkin tidak cocok untuk Presiden kedepan."""
HS,"orang licik yang gak malu mencalonkan dirinya sebagai presiden Aburizal Bakrie emang binatang!"""
HS,licik aburizal bakrie ini
HS,@sarahafshol gerindra dan pdi. Partai2 besaaaaar >
HS,"""@The_DarkPrince: bosan liat surya paloh kaya ngeliat SBY versi bewok--"""""""""""
HS,"Surya Paloh belum jadi pemimpin dan pejabat saja sdh bohong soal status nasdem gimana sdh jadi pejabat? Forget him !"""
HS,Agak-agak muak ngeliat iklannya ARB di tv..
HS,Dan Aburizal Bakrie pencitraan terus di televisi. Bosan.
HS,"Muak lihat iklan ARB :-& such a trash full of bullshit"""
HS,Contoh org yg tidak konsisten.. RT detikcom: Prabowo Akhirnya Dukung Dede Yusuf di Pilgub Jabar de.tk/e1wIB
HS," @benhan ARB ngurusin lumpur dan nasabah asuransi nya aja ga becus boro2 mau jd presiden..."""
HS,Tapi lbh bejat HAM prabowo! RThillarekTrioMacan2000korps08aljufriAKEdgar1107@kadafmuamarPrabowo08 Amerika juga penjahat HAM
HS,TrioMacan2000 eeee klo wiranto kau blom prnah ceritakn ttg wiranto. diskriminasi tokoh anda ini payah goblok
HS,"Elektabilitas Aburizal Bakrie Rendah Pemicu Perpecahan di Golkar shar.es/hAjAa vialensaindonesia"""
HS,"RT @oetjoet: Okelah semoga aj prabowo dan pasukannya semakin diktator dan bego. Presiden RI 2014 siapa saja boleh asal jgn prabowo. @ ..."""
HS,"Lg digebugin prabowo krn gagal mulu""@oetjoet: Dasar bego aksi @TrioMacan2000 balas jg kek dgn opini mana pasukan prabowo di twitland?"""""""
HS,"Test Drive Tucuxi Tindakan Dahlan Iskan Ceroboh bit.ly/VqjU3d"""
HS,"Hadapi Pemilu 2014 Megawati: Kader Lembek Pecat Saja de.tk/rfnYy"""
