label,tweet
HS,rt @mrtampi: agus makin santai.\nahok makin santun.\nanies makin esmosi.\n\nimho.\n#debat2pilkadadki
HS,pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja tahun baru imlek pkb aj... https:\/\/t.co\/ggych4sgct #debat2pilkadadki #imlek
HS,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! wni ang... 
HS,rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake data2 yg salah ya ahok joged2 aja  #debat2pil\u2026
HS,as usual ga pernah menjawab dgn solusi.
HS,yah namanya jh odong2 si @sylviana_murni https:\/\/t.co\/8g7u4iuyo7
HS,rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake data2 yg salah ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026
HS,rt @komunitaskata: #debat2pilkadadki bohongi bohongi terus org pakai opini kinerja baik pdhl kinerjanya absolutely buruk! https:\/\/t.co\/m8g\u2026
HS,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! pria as... https:\/\/t.co\/315l4axm8h #debat2pilkadadki https:\/\/t.co\/ybh5dtxnw2
HS,rt @teddygusnaidi: ini yg gue bilang yg hebat di tim @agusyudhoyono itu cuma tukang fotonya. coba zoom. orangnya dikit kebyakan bers\u2026 
HS,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! dua gan... https:\/\/t.co\/dojksgdiwv #debat2pilkadadki https:\/\/t.co\/ebhmnmgaq3
HS,pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja tahun baru imlek pkb aj... https:\/\/t.co\/1cvtw2ahuv #debat2pilkadadki #imlek
HS,rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026
HS,rt @teddygusnaidi: 28. kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026
HS,rt @teddygusnaidi: para pemuja-pemuji @agusyudhoyono kalau msh juga memuji ini keterlaluan... mbok ya kalau tugas boleh tapi realistis\u2026 
HS,rt @fariji_lacak: maklum...namanya jg paslon hapalan. https:\/\/t.co\/wkosscn3ds
HS,rt @aef8386: kata @aniesbaswedan ipm di ibu kota manapun di seluruh dunia sll plg tinggi. benarkah? di amerika ternyata tidak be\u2026 
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/hfzknf0wp0 #debat2pilkadadki https:\/\/t.co\/oupxyfrkuj
HS,rt @stellakarunia: jangan pilih cagub yg dekat dgn sarang koruptor \ud83d\ude01#debat2pilkadadki https:\/\/t.co\/ttxy2oxi6p
HS,rt @teddygusnaidi: lah.. lu monolog sejam yg dihadiri orang2 lu sendiri dipuja2 knp gak dijelaskan? ngeles aja emg gak bisa\u2026 
HS,rt @takviri: #aniesberbohong\n#aniesberbohong\n#aniesberbohong\n\n#sandiberbohong\n#sandiberbohong\n#sandiberbohong https:\/\/t.co\/f2z3p6zgkr
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/xheqylmxin #debat2pilkadadki https:\/\/t.co\/zxux6pyljy
HS,rt @desvronitaaa: gitu yg mau jadi pemimpin? udah salah harusnya intropeksi diri bukan ngacuin jempol kebawah gitu emak sylvii \ud83d\ude02#debat2pil\u2026
HS,rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin
HS,rt @teddygusnaidi: 28. kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart
HS,rt @teddygusnaidi: yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau.. hahaha!!\u2026 
HS,rt @elyakin4: saya kaget lihat jempol bu silvy kebawah saat dengar penjelasan paslon 2. emang hrs gitu ya bu silvy? kayak preman.\u2026 
HS,rt @erixputra: #debat2pilkadadki knp sylviana mengacungkan jempol kebawah? bicara panjang lebar tanpa ada pertanyaan?\n\nkarena cewek tidak p\u2026
HS,rt @arifahelfishy: nurunin jempol kebawah ya tadi wkwkww attitude nya mana ya? #debat2pilkadadki
HS,rt @ponakannyaom: paslon 3 masih berbicara seperti anime naruto dan bleach\n\nbanyak filler\n\n#debat2pilkadadki
HS,rt @ariearie_14: debat kok saling menjatuhkan ki pie? dua dua nya nyerang. eh malah bertengkar sendiri. (yg di serang melerai) *ngakak \ud83d\ude04\n#d\u2026
HS,pdip sengaja becah belah rakyat warga dki tidak pilih ahok!! janji calon gubernur soal pembang... https:\/\/t.co\/dduvvxek1c #debat2pilkadadki
HS,rt @imadya: anies semakin terlihat aslinya. masyarakat sudah cerdas tidak mudah dibohongi dengan opini2nya yang mengelabui data #debat2pilk\u2026
HS,@gunromli mgk sebaiknya @aniesbaswedan siap2 beli tiket pswt pulang ke kampung nenek moyangnya di a**b sana..\ud83d\ude02\ud83d\ude05\u270c\ufe0f\ufe0f #debat2pilkadadki
HS,rt @teddygusnaidi: terbukti ucapan ahok bhw kementerian @aniesbaswedan dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \nhttps\u2026
HS,rt @mrtampi: agus makin santai.\nahok makin santun.\nanies makin esmosi.\n\nimho.\n#debat2pilkadadki
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/nxowqxyhfy #debat2pilkadadki https:\/\/t.co\/7oaurnmatd
HS,rt @rianernesto: di #debat2pilkadadki ada pak antasari azhar. suporter paslon teriak bongkar bongkar. ada seorang ibu dag dig dug
HS,pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja perwakilan ormas islam j... https:\/\/t.co\/eviwhceffh #debat2pilkadadki #imlek
HS,jangan pernah merobohkan pagar tanpa mengetahui me https:\/\/t.co\/2zb8o60uwf #debat2pilkadadki
HS,rt @andra_diansyah: waktu agus bilang gak gusur tapi cuma geser gue inget tatan lhoo #debat2pilkadajkt #debat2pilkadadki
HS,rt @annisapohon_: kata siapa mas agus enggak punya solusi utk masalah dki jkt? mas agus itu punya solusi bambang yudhoyono sby... \ud83d\ude42#ahydki\u2026
HS,rt @teddygusnaidi: 5. tidak bisa dalam waktu 2 tahun hrs membereskan semuanya karena masih ada yg dalam progres. ini bukan sulap simsalabi\u2026
HS,rt @teddygusnaidi: 15. ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung anggara\u2026
HS,rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026
HS,rt @pandji: nah gue pikir sentimen petahana oke di #debat2pilkadadki semalam. tapi mnrt politicawave malah sebaliknya. geng\u2026 
HS,rt @the_various: mengacungkan jari kebawah termasuk bagian dari rasis dan itu dilakukan paslon 1 menurut sy itu attitude yg kurang baik\u2026
HS,pilkada dki jakarta harap tidak pilih nomor 2 bahaya laten komunis!... https:\/\/t.co\/i1lleilkxf #debat2pilkadadki https:\/\/t.co\/wefqmiu2vf
HS,pilkada dki jangan pilih pki!! berbahaya!! pilih 1 atau 3 saja meriah! warga dan turis saksika... https:\/\/t.co\/cxectjknz0 #debat2pilkadadki
HS,rt @jokoanwar: visi misi anies adalah penilaian buruk orang lain. #debat2pilkadadki https:\/\/t.co\/ztbqwdudvg
HS,rt @stellakarunia: jangan pilih cagub yg dekat dgn sarang koruptor \ud83d\ude01#debat2pilkadadki https:\/\/t.co\/ttxy2oxi6p
HS,rt @majansukirnos: ngerih!!! @bangsa2000 @idm1303 \n#debat2pilkadadki https:\/\/t.co\/mppsglov9v
HS,rt @teddygusnaidi: 15. ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung anggara\u2026
HS,rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026
HS,rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake data2 yg salah ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026
HS,rt @pbenyw: mpok @sylviana_murni salah sebut dg uu no 8 terkait pengelolaan sampah. padahal yg benar uu 18\/2008.\u2026 
